ID do Cliente,Idade,Gênero,Item Comprado,Categoria,Valor da Compra (R$),Localização,Tamanho,Cor,Estação,Avaliação,Status de Assinatura,Tipo de Envio,Desconto Aplicado,Código Promocional Utilizado,Compras Anteriores,Método de Pagamento,Frequência de Compras
1,55,Masculino,Óculos de Sol,Acessórios,53,João Pessoa,L,Cinza,Inverno,3.1,Sim,Expressa,Sim,Sim,14,Dinheiro,Quinzenal
2,19,Masculino,Joias,Acessórios,64,Palmas,L,Marrom,Inverno,3.1,Sim,Expressa,Sim,Sim,2,Dinheiro,Quinzenal
3,50,Masculino,Óculos de Sol,Acessórios,73,Florianópolis,S,Marrom,Primavera,3.1,Sim,Frete Grátis,Sim,Sim,23,Dinheiro,Semanalmente
4,21,Masculino,Camisa,Roupas,90,Cuiabá,M,Marrom,Primavera,3.5,Sim,Ar Do Dia Seguinte,Sim,Sim,49,Boleto Bancário,Semanalmente
5,45,Masculino,Luvas,Roupas,49,João Pessoa,M,Turquesa,Primavera,2.7,Sim,Frete Grátis,Sim,Sim,31,Dinheiro,Anualmente
6,46,Masculino,Chapéu,Acessórios,20,Curitiba,M,Branco,Verão,2.9,Sim,Padrão,Sim,Sim,14,Boleto Bancário,Semanalmente
7,63,Masculino,Tênis,Calçados,85,João Pessoa,M,Cinza,Cair,3.2,Sim,Frete Grátis,Sim,Sim,49,Pix,Trimestral
8,27,Masculino,Suéter,Roupas,34,João Pessoa,L,Carvão,Inverno,3.2,Sim,Frete Grátis,Sim,Sim,19,Dinheiro,Semanalmente
9,26,Masculino,Botas,Calçados,97,Teresina,L,Prata,Verão,2.6,Sim,Expressa,Sim,Sim,8,Dinheiro,Anualmente
10,57,Masculino,Meias,Acessórios,31,Recife,M,Rosa,Primavera,4.8,Sim,Envio Em 2 Dias,Sim,Sim,4,Cartão de Débito,Trimestral
11,53,Masculino,Meias,Acessórios,34,Rio de Janeiro,L,Roxa,Cair,4.1,Sim,Retirada Na Loja,Sim,Sim,26,Boleto Bancário,Bi-Semanalmente
12,30,Masculino,Camisa,Roupas,68,Belo Horizonte,S,Oliva,Inverno,4.9,Sim,Retirada Na Loja,Sim,Sim,10,Pix,Quinzenal
13,61,Masculino,Sapatos,Calçados,72,Natal,M,Ouro,Inverno,4.5,Sim,Expressa,Sim,Sim,37,Pix,Quinzenal
14,65,Masculino,Suéter,Roupas,51,Manaus,M,Tolet,Primavera,4.7,Sim,Expressa,Sim,Sim,31,Pix,Semanalmente
15,64,Masculino,Cinto,Acessórios,53,Goiânia,L,Cerceta,Inverno,4.7,Sim,Frete Grátis,Sim,Sim,34,Boleto Bancário,Semanalmente
16,64,Masculino,Tênis,Calçados,81,Porto Alegre,M,Cerceta,Inverno,2.8,Sim,Retirada Na Loja,Sim,Sim,8,Cartão de Débito,Por Mês
17,25,Masculino,Saia,Roupas,36,Rio de Janeiro,S,Cinza,Primavera,4.1,Sim,Ar Do Dia Seguinte,Sim,Sim,44,Cartão de Crédito,Bi-Semanalmente
18,53,Masculino,Jaqueta,Roupas,38,Campo Grande,XL,Lavanda,Inverno,4.7,Sim,Envio Em 2 Dias,Sim,Sim,36,Cartão de Crédito,Trimestral
19,52,Masculino,Botas,Calçados,48,Goiânia,S,Preto,Verão,4.6,Sim,Frete Grátis,Sim,Sim,17,Cartão de Crédito,Semanalmente
20,66,Masculino,Chapéu,Acessórios,90,São Paulo,M,Verde,Verão,3.3,Sim,Padrão,Sim,Sim,46,Pix,Bi-Semanalmente
21,21,Masculino,Suéter,Roupas,51,Campo Grande,M,Preto,Inverno,2.8,Sim,Expressa,Sim,Sim,50,Transferência Bancária,Cada 3 Meses
22,31,Masculino,Blusa,Roupas,62,Campo Grande,M,Carvão,Inverno,4.1,Sim,Retirada Na Loja,Sim,Sim,22,Cartão de Débito,Trimestral
23,56,Masculino,Chapéu,Acessórios,37,Teresina,M,Pêssego,Verão,3.2,Sim,Retirada Na Loja,Sim,Sim,32,Pix,Anualmente
24,31,Masculino,Jaqueta,Roupas,88,Campo Grande,XL,Branco,Inverno,4.4,Sim,Expressa,Sim,Sim,40,Dinheiro,Semanalmente
25,18,Masculino,Tênis,Calçados,22,Salvador,M,Verde,Cair,2.9,Sim,Retirada Na Loja,Sim,Sim,16,Transferência Bancária,Semanalmente
26,18,Masculino,Meias,Acessórios,25,Recife,M,Prata,Verão,3.6,Sim,Expressa,Sim,Sim,14,Pix,Anualmente
