ID do Cliente,Idade,Gênero,Item Comprado,Categoria,Valor da Compra (R$),Localização,Tamanho,Cor,Estação,Avaliação,Status de Assinatura,Tipo de Envio,Desconto Aplicado,Código Promocional Utilizado,Compras Anteriores,Método de Pagamento,Frequência de Compras
1,55,Masculino,Blouse,Roupas,53,Kentucky,L,Cinza,Inverno,3.1,Sim,Expressa,Sim,Sim,14,Venmo,Quinzenal
2,19,Masculino,Sweater,Roupas,64,Maine,L,Marrom,Inverno,3.1,Sim,Expressa,Sim,Sim,2,Cash,Quinzenal
3,50,Masculino,Jeans,Roupas,73,Massachusetts,S,Marrom,Primavera,3.1,Sim,Frete Grátis,Sim,Sim,23,CVermelhoit Card,Semanalmente
4,21,Masculino,Sandals,Calçados,90,Rhode Island,M,Marrom,Primavera,3.5,Sim,Ar Do Dia Seguinte,Sim,Sim,49,PayPal,Semanalmente
5,45,Masculino,Blouse,Roupas,49,Oregon,M,Turquesa,Primavera,2.7,Sim,Frete Grátis,Sim,Sim,31,PayPal,Anualmente
6,46,Masculino,Sneakers,Calçados,20,Wyoming,M,Branco,Verão,2.9,Sim,Padrão,Sim,Sim,14,Venmo,Semanalmente
7,63,Masculino,Shirt,Roupas,85,Montana,M,Cinza,Cair,3.2,Sim,Frete Grátis,Sim,Sim,49,Cash,Trimestral
8,27,Masculino,Shorts,Roupas,34,Louisiana,L,Carvão,Inverno,3.2,Sim,Frete Grátis,Sim,Sim,19,CVermelhoit Card,Semanalmente
9,26,Masculino,Coat,Agasalhos,97,West Virginia,L,Prata,Verão,2.6,Sim,Expressa,Sim,Sim,8,Venmo,Anualmente
10,57,Masculino,Handbag,Acessórios,31,Missouri,M,Rosa,Primavera,4.8,Sim,Envio Em 2 Dias,Sim,Sim,4,Cash,Trimestral
11,53,Masculino,Shoes,Calçados,34,Arkansas,L,Roxa,Cair,4.1,Sim,Retirada Na Loja,Sim,Sim,26,Bank Transfer,Bi-Semanalmente
12,30,Masculino,Shorts,Roupas,68,Hawaii,S,Oliva,Inverno,4.9,Sim,Retirada Na Loja,Sim,Sim,10,Bank Transfer,Quinzenal
13,61,Masculino,Coat,Agasalhos,72,Delaware,M,Ouro,Inverno,4.5,Sim,Expressa,Sim,Sim,37,Venmo,Quinzenal
14,65,Masculino,Dress,Roupas,51,New Hampshire,M,Tolet,Primavera,4.7,Sim,Expressa,Sim,Sim,31,PayPal,Semanalmente
15,64,Masculino,Coat,Agasalhos,53,New York,L,Cerceta,Inverno,4.7,Sim,Frete Grátis,Sim,Sim,34,Debit Card,Semanalmente
16,64,Masculino,Skirt,Roupas,81,Rhode Island,M,Cerceta,Inverno,2.8,Sim,Retirada Na Loja,Sim,Sim,8,PayPal,Por Mês
17,25,Masculino,Sunglasses,Acessórios,36,Alabama,S,Cinza,Primavera,4.1,Sim,Ar Do Dia Seguinte,Sim,Sim,44,Debit Card,Bi-Semanalmente
18,53,Masculino,Dress,Roupas,38,Mississippi,XL,Lavanda,Inverno,4.7,Sim,Envio Em 2 Dias,Sim,Sim,36,Venmo,Trimestral
19,52,Masculino,Sweater,Roupas,48,Montana,S,Preto,Verão,4.6,Sim,Frete Grátis,Sim,Sim,17,Cash,Semanalmente
20,66,Masculino,Pants,Roupas,90,Rhode Island,M,Verde,Verão,3.3,Sim,Padrão,Sim,Sim,46,Debit Card,Bi-Semanalmente
21,21,Masculino,Pants,Roupas,51,Louisiana,M,Preto,Inverno,2.8,Sim,Expressa,Sim,Sim,50,Cash,Cada 3 Meses
22,31,Masculino,Pants,Roupas,62,North Carolina,M,Carvão,Inverno,4.1,Sim,Retirada Na Loja,Sim,Sim,22,Debit Card,Trimestral
23,56,Masculino,Pants,Roupas,37,California,M,Pêssego,Verão,3.2,Sim,Retirada Na Loja,Sim,Sim,32,Debit Card,Anualmente
24,31,Masculino,Pants,Roupas,88,Oklahoma,XL,Branco,Inverno,4.4,Sim,Expressa,Sim,Sim,40,CVermelhoit Card,Semanalmente
25,18,Masculino,Jacket,Agasalhos,22,Florida,M,Verde,Cair,2.9,Sim,Retirada Na Loja,Sim,Sim,16,Debit Card,Semanalmente
26,18,Masculino,Hoodie,Roupas,25,Texas,M,Prata,Verão,3.6,Sim,Expressa,Sim,Sim,14,PayPal,Anualmente
27,38,Masculino,Jewelry,Acessórios,20,Nevada,M,Vermelho,Primavera,3.6,Sim,Ar Do Dia Seguinte,Sim,Sim,13,CVermelhoit Card,Anualmente
28,56,Masculino,Shorts,Roupas,56,Kentucky,L,Ciano,Verão,5,Sim,Ar Do Dia Seguinte,Sim,Sim,7,Bank Transfer,Cada 3 Meses
29,54,Masculino,Handbag,Acessórios,94,North Carolina,M,Cinza,Cair,4.4,Sim,Frete Grátis,Sim,Sim,41,PayPal,Cada 3 Meses
30,31,Masculino,Dress,Roupas,48,Wyoming,S,Preto,Cair,4.1,Sim,Retirada Na Loja,Sim,Sim,14,CVermelhoit Card,Semanalmente
31,57,Masculino,Jewelry,Acessórios,31,North Carolina,L,Preto,Inverno,4.7,Sim,Padrão,Sim,Sim,16,CVermelhoit Card,Por Mês
